name,deathsperthoulivebirths,percentgdpeduc,migrantsperthousand,gini,inflationrate,unemploymentrate,roadkm,railwaykm,airports
"Korea, South",2.87,4.7,2.63,31.4,2.5,3.53,100428.00,3979,111.00
Namibia,29.42,9.6,0,59.1,3.62,21.68,48875.00,2628,112.00
Malaysia,6.59,3.9,1.48,41.1,2.48,4.61,144403.00,1851,114.00
New Zealand,3.44,6,5.83,36.2,3.94,4.12,94000.00,4128,123.00
Poland,4.16,5.2,-0.33,29.7,5.06,3.37,420000.00,19461,126.00
Czechia,2.4,5.1,2.32,25.3,3.84,2.89,55744.00,9548,128.00
Italy,3.16,4.3,3.02,35.2,1.87,9.83,487700.00,18475,129.00
Uruguay,8.31,4.6,-0.88,39.7,7.75,10.45,77732.00,1673,133.00
Spain,2.47,4.6,4.35,34.7,3.09,14.73,683175.00,15489,135.00
Finland,2.13,5.9,2.35,27.7,2.19,7.53,454000.00,5918,148.00
Algeria,19.72,7,-0.82,27.6,7.23,12.7,104000.00,4020,149.00
Pakistan,53.98,2.4,-0.96,33.5,9.5,4.35,264175.00,11881,151.00
Costa Rica,8.39,6.7,0.77,49.3,1.73,17.95,5035.00,278,161.00
Tanzania,30.87,3.3,-0.41,40.5,3.69,2.65,145203.00,4097,166.00
Japan,1.9,3.4,0.74,32.9,-0.23,2.8,1218772.00,27311,175.00
Peru,10.8,4,-0.75,42.8,4.27,4.83,18699.00,1854.4,191.00
Zimbabwe,28.53,3.9,-4.83,44.3,98.55,5.17,97267.00,3427,196.00
Kenya,27.86,4.8,-0.19,40.8,6.11,5.74,161452.00,3819,197.00
"Congo, Democratic Republic of the",60.85,2.7,-0.71,42.1,41.5,5.43,152373.00,4007,198.00
Saudi Arabia,12.27,7.8,5.52,45.9,3.06,7.36,221372.00,5410,214.00
Ukraine,7.33,5.4,-0.26,26.1,9.36,8.88,169694.00,21733,215.00
Sweden,2.3,7.2,3.6,28.8,2.16,8.66,573134.00,10910,231.00
Philippines,22.23,3.7,0.13,44.4,3.93,2.41,216387.00,77,247.00
Guatemala,26.18,3.1,-1.66,48.3,4.26,3.57,17440.00,800,291.00
Iran,14.84,3.6,-0.3,40.9,43.39,11.46,223485.00,8483.5,319.00
India,30.31,4.5,0.16,35.7,5.13,5.98,6371847.00,65554,346.00
South Africa,25.87,6.6,0,63,4.61,33.56,750000.00,20986,407.00
Australia,3.01,6.1,6.93,34.3,2.86,5.11,873573.00,36064,418.00
Ecuador,18.13,3.7,0,47.3,0.13,6.43,43950.00,965,432.00
Venezuela,17.72,1.3,13.88,39,146101.7,6.41,96189.00,447,444.00
United Kingdom,3.82,5.5,3.59,34.8,2.52,4.53,394428.00,16390,460.00
France,3.15,5.5,1.06,32.4,1.64,8.06,1053215.00,27860,464.00
Chile,6.55,5.6,0.33,44.9,4.52,9.13,77801.00,7281.5,481.00
China,6.76,3.6,-0.11,38.2,0.98,4.82,5200000.00,150000,507.00
Germany,3.19,4.7,1.78,31.7,3.14,3.54,625000.00,39379,539.00
Indonesia,19.73,3.5,-0.71,37.9,1.56,4.41,496607.00,8159,673.00
Paraguay,23.21,3.3,-0.07,46.2,4.79,7.21,78811.00,30,799.00
Colombia,11.65,4.9,-1.58,54.2,3.5,14.34,205379.00,2141,836.00
Bolivia,22.28,9.8,-0.98,43.6,0.74,8.51,90568.00,3960,855.00
Argentina,9.35,5,-0.08,42.3,25.7,10.9,281290.00,17866,916.00
Russia,6.42,3.7,1.7,37.5,6.69,5.01,1283387.00,85494,1218.00
Canada,4.38,5.2,5.46,33.3,3.4,7.51,1042300.00,49422,1467.00
Mexico,11.86,4.3,-0.76,45.4,5.69,4.38,704884.00,23389,1714.00
Brazil,13.31,6,-0.19,48.9,8.3,14.4,2000000.00,29849.9,4093.00
United States,5.17,6.1,3.02,41.1,4.7,5.46,6586610.00,293564.2,13513.00
